alignment_id,alignment_label,normalized_label,alignment_status,source_count,row_count,source_names_json,entity_ids_json,source_entity_ids_json,source_row_refs_json
alignment:gria1,GRIA1,GRIA1,id_consistent,1,1,"[""opentargets""]","[""ENSG00000155511""]","{""opentargets"": [""ENSG00000155511""]}","[{""dataset_name"": ""glutamatergic_baseline"", ""entity_id"": ""ENSG00000155511"", ""entity_label"": ""GRIA1"", ""provenance_bundle_id"": ""opentargets:glutamatergic-baseline"", ""row_index"": 2, ""source_name"": ""opentargets""}]"
alignment:grin2a,GRIN2A,GRIN2A,id_consistent,2,2,"[""opentargets"", ""pgc""]","[""ENSG00000183454""]","{""opentargets"": [""ENSG00000183454""], ""pgc"": [""ENSG00000183454""]}","[{""dataset_name"": ""glutamatergic_baseline"", ""entity_id"": ""ENSG00000183454"", ""entity_label"": ""GRIN2A"", ""provenance_bundle_id"": ""opentargets:glutamatergic-baseline"", ""row_index"": 1, ""source_name"": ""opentargets""}, {""dataset_name"": ""glutamatergic_prioritized_genes"", ""entity_id"": ""ENSG00000183454"", ""entity_label"": ""GRIN2A"", ""provenance_bundle_id"": ""pgc:glutamatergic-prioritized-genes"", ""row_index"": 1, ""source_name"": ""pgc""}]"
alignment:grm3,GRM3,GRM3,id_consistent,2,2,"[""opentargets"", ""pgc""]","[""ENSG00000198822""]","{""opentargets"": [""ENSG00000198822""], ""pgc"": [""ENSG00000198822""]}","[{""dataset_name"": ""glutamatergic_baseline"", ""entity_id"": ""ENSG00000198822"", ""entity_label"": ""GRM3"", ""provenance_bundle_id"": ""opentargets:glutamatergic-baseline"", ""row_index"": 3, ""source_name"": ""opentargets""}, {""dataset_name"": ""glutamatergic_prioritized_genes"", ""entity_id"": ""ENSG00000198822"", ""entity_label"": ""GRM3"", ""provenance_bundle_id"": ""pgc:glutamatergic-prioritized-genes"", ""row_index"": 2, ""source_name"": ""pgc""}]"
alignment:grm5,GRM5,GRM5,id_consistent,1,1,"[""opentargets""]","[""ENSG00000168959""]","{""opentargets"": [""ENSG00000168959""]}","[{""dataset_name"": ""glutamatergic_baseline"", ""entity_id"": ""ENSG00000168959"", ""entity_label"": ""GRM5"", ""provenance_bundle_id"": ""opentargets:glutamatergic-baseline"", ""row_index"": 4, ""source_name"": ""opentargets""}]"
