entity_id,entity_label,approved_name,generic_platform_baseline,opentargets_disease_id,opentargets_disease_name,opentargets_api_version,opentargets_data_version,opentargets_datatype_scores_json,opentargets_datatype_clinical,opentargets_datatype_genetic_association
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,0.614054094449,MONDO_0005090,schizophrenia,26.03.0,26.03,"{""clinical"": 0.6344623605437137, ""genetic_association"": 0.6936562883163389, ""literature"": 0.8617834494187444}",0.6344623605437137,0.6936562883163389
ENSG00000155511,GRIA1,glutamate ionotropic receptor AMPA type subunit 1,0.438360252724,MONDO_0005090,schizophrenia,26.03.0,26.03,"{""animal_model"": 0.7390728693589029, ""clinical"": 0.18021371940088668, ""genetic_association"": 0.6556909542615412, ""literature"": 0.312088321984731}",0.18021371940088668,0.6556909542615412
ENSG00000198822,GRM3,glutamate metabotropic receptor 3,0.598001953742,MONDO_0005090,schizophrenia,26.03.0,26.03,"{""clinical"": 0.5910776204588456, ""genetic_association"": 0.8181094331479392, ""literature"": 0.8005035374993577}",0.5910776204588456,0.8181094331479392
ENSG00000168959,GRM5,glutamate metabotropic receptor 5,0.128960640945,MONDO_0005090,schizophrenia,26.03.0,26.03,"{""animal_model"": 0.6964759182837538, ""clinical"": 0.06079307976116211, ""literature"": 0.8527593970947804}",0.06079307976116211,
