gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,qvalue
ENSG00000000003,TSPAN6,0.0612767920641577,6.45947804767747,0.680691731747323,0.498227241553619,0.999530115671825,-5.07895002080314,0.999530115671825
ENSG00000000419,DPM1,0.027763729095164,5.02128420477538,0.322010666078602,0.748368044342824,0.999530115671825,-5.14194025519014,0.999530115671825
ENSG00000000457,SCYL3,0.024706536538126,4.16587938544266,0.268143827606125,0.789347421199249,0.999530115671825,-5.06663504185645,0.999530115671825
ENSG00000000460,C1orf112,0.0575724351206501,4.38530059192238,0.49848231863498,0.619647844866784,0.999530115671825,-5.03563773923947,0.999530115671825
ENSG00000000971,CFH,-0.414614837328518,-1.06045213267747,-0.443561368938867,0.658676074018086,0.999530115671825,-4.69373887543586,0.999530115671825
ENSG00000001036,FUCA2,-0.413648587302449,4.72006065359894,-2.538372827433,0.0132769183905596,0.999530115671825,-3.08118248998004,0.999530115671825
ENSG00000001084,GCLC,0.0705840146691195,4.67962494193652,0.596180150111561,0.552905318402047,0.999530115671825,-5.02503883356492,0.999530115671825
ENSG00000001167,NFYA,0.0998022871964812,5.94961389019336,0.940599727602033,0.350022642434849,0.999530115671825,-4.91277329400496,0.999530115671825
ENSG00000001460,STPG1,-0.396223281017441,3.20778714126273,-2.01449230953512,0.0476549012404959,0.999530115671825,-3.91519832439406,0.999530115671825
ENSG00000001461,NIPAL3,-0.0949257306769282,4.43995026318947,-0.635057773740348,0.527382996015054,0.999530115671825,-4.97593627884073,0.999530115671825
ENSG00000001497,LAS1L,0.00905135232493937,5.34272375854984,0.159394476673711,0.873799766249712,0.999530115671825,-5.19414155972601,0.999530115671825
ENSG00000001561,ENPP4,0.778047062716829,3.19074492440966,2.4896543900161,0.0150724664823985,0.999530115671825,-3.40032796143963,0.999530115671825
ENSG00000001617,SEMA3F,0.465976543899502,2.02922243645071,1.34295824950149,0.183460214966135,0.999530115671825,-4.49047057926527,0.999530115671825
ENSG00000001629,ANKIB1,-0.0222632128534892,7.26971491843709,-0.329599272888652,0.742649846836728,0.999530115671825,-5.21854733745988,0.999530115671825
ENSG00000001630,CYP51A1,-0.00892371685291726,3.23662893322577,-0.0546877931862865,0.956537094213946,0.999530115671825,-4.98857249375137,0.999530115671825
