cell_type,perturbagen,probe,probe_type,gene_symbol,entrez_id,median_rzs,direction
SZ_iPSC_NPC,hydroquinine,209584_x_at,INF,APOBEC3C,27350,-2.2589437868840698,DOWN
SZ_iPSC_NPC,lycorine,209584_x_at,INF,APOBEC3C,27350,-2.1293458579747799,DOWN
SZ_iPSC_NPC,suloctidil,209584_x_at,INF,APOBEC3C,27350,6.40251342177383,UP
SZ_iPSC_NPC,Vorinostat,204205_at,INF,APOBEC3G,60489,-2.0877357662732199,DOWN
SZ_iPSC_NPC,emetine,204205_at,INF,APOBEC3G,60489,-2.0255449014834999,DOWN
SZ_iPSC_NPC,suloctidil,204205_at,INF,APOBEC3G,60489,7.03883840569583,UP
SZ_iPSC_NPC,suloctidil,220023_at,INF,APOBR,55911,3.2156845637560201,UP
SZ_iPSC_NPC,carbimazole,205820_s_at,INF,APOC3,345,2.1794718172137602,UP
SZ_iPSC_NPC,niclosamide,205820_s_at,INF,APOC3,345,2.0632583942647198,UP
SZ_iPSC_NPC,emetine,201525_at,INF,APOD,347,-3.31801143029575,DOWN
SZ_iPSC_NPC,suloctidil,212874_at,INF,APOE,348,4.6178652992998499,UP
SZ_iPSC_NPC,emetine,207262_at,INF,APOF,319,3.3757805088970301,UP
SZ_iPSC_NPC,PERCEPTIN,209546_s_at,INF,APOL1,8542,2.4852117041171198,UP
SZ_iPSC_NPC,BMS-250904,221653_x_at,INF,APOL2,23780,2.6224774033967901,UP
SZ_iPSC_NPC,celastrol,221653_x_at,INF,APOL2,23780,2.7670826947782299,UP
SZ_iPSC_NPC,suloctidil,221653_x_at,INF,APOL2,23780,3.72411571822219,UP
SZ_iPSC_NPC,Nimodipine,221087_s_at,INF,APOL3,80833,2.8440449840540398,UP
SZ_iPSC_NPC,Vorinostat,221087_s_at,INF,APOL3,80833,-2.9547866131907399,DOWN
SZ_iPSC_NPC,anisomycin,221087_s_at,INF,APOL3,80833,-2.5498707484300298,DOWN
SZ_iPSC_NPC,emetine,221087_s_at,INF,APOL3,80833,-5.0992954724723401,DOWN
SZ_iPSC_NPC,lycorine,221087_s_at,INF,APOL3,80833,-2.0223741094229202,DOWN
SZ_iPSC_NPC,suloctidil,221087_s_at,INF,APOL3,80833,3.3981475748990699,UP
SZ_iPSC_NPC,Nimodipine,220478_at,INF,APOL5,80831,2.4561456100644099,UP
SZ_iPSC_NPC,suloctidil,220478_at,INF,APOL5,80831,2.7382043205627,UP
SZ_iPSC_NPC,BMS-250904,219716_at,INF,APOL6,80830,2.0099671128007301,UP
SZ_iPSC_NPC,Vorinostat,219716_at,INF,APOL6,80830,-4.0374647910307901,DOWN
SZ_iPSC_NPC,anisomycin,219716_at,INF,APOL6,80830,-3.3300382255786598,DOWN
SZ_iPSC_NPC,celastrol,219716_at,INF,APOL6,80830,2.2674404903918401,UP
SZ_iPSC_NPC,emetine,219716_at,INF,APOL6,80830,-2.9704608284132501,DOWN
SZ_iPSC_NPC,methylbenzethonium chloride,219716_at,INF,APOL6,80830,2.0232803230930401,UP
SZ_iPSC_NPC,suloctidil,219716_at,INF,APOL6,80830,4.7890877422097402,UP
SZ_iPSC_NPC,suloctidil,221031_s_at,INF,APOLD1,81575,-5.30098705334649,DOWN
SZ_iPSC_NPC,BMS-250904,205682_x_at,INF,APOM,55937,-2.4434589841425498,DOWN
SZ_iPSC_NPC,anisomycin,205682_x_at,INF,APOM,55937,2.82846453606416,UP
SZ_iPSC_NPC,celastrol,205682_x_at,INF,APOM,55937,2.9086070227288401,UP
SZ_iPSC_NPC,emetine,205682_x_at,INF,APOM,55937,3.32436452980301,UP
SZ_iPSC_NPC,hydroquinine,205682_x_at,INF,APOM,55937,2.2417156820935298,UP
SZ_iPSC_NPC,lycorine,205682_x_at,INF,APOM,55937,3.5565409242140902,UP
SZ_iPSC_NPC,niclosamide,205682_x_at,INF,APOM,55937,2.3049215749416199,UP
SZ_iPSC_NPC,suloctidil,205682_x_at,INF,APOM,55937,-3.1042734836066099,DOWN
SZ_iPSC_NPC,celastrol,221620_s_at,INF,APOO,79135,-3.2293046693125098,DOWN
SZ_iPSC_NPC,emetine,221620_s_at,INF,APOO,79135,-3.7576774562829498,DOWN
SZ_iPSC_NPC,suloctidil,221620_s_at,INF,APOO,79135,-3.0043080327621898,DOWN
SZ_iPSC_NPC,Vorinostat,222269_at,INF,APOOL,139322,-4.0151648466224099,DOWN
SZ_iPSC_NPC,anisomycin,222269_at,INF,APOOL,139322,3.9919025285818899,UP
SZ_iPSC_NPC,celastrol,222269_at,INF,APOOL,139322,7.51373792082134,UP
SZ_iPSC_NPC,emetine,222269_at,INF,APOOL,139322,3.0207808078163101,UP
SZ_iPSC_NPC,fendiline,222269_at,INF,APOOL,139322,2.0041212977404399,UP
SZ_iPSC_NPC,lycorine,222269_at,INF,APOOL,139322,2.9043228170097102,UP
SZ_iPSC_NPC,methylbenzethonium chloride,222269_at,INF,APOOL,139322,2.38631858522665,UP
SZ_iPSC_NPC,suloctidil,211277_x_at,INF,APP,351,-2.5988628045642201,DOWN
SZ_iPSC_NPC,anisomycin,202629_at,INF,APPBP2,10513,3.9460525401900899,UP
SZ_iPSC_NPC,cephaeline,202629_at,INF,APPBP2,10513,2.3457116376602301,UP
SZ_iPSC_NPC,emetine,202629_at,INF,APPBP2,10513,9.2845374967304206,UP
SZ_iPSC_NPC,lycorine,202629_at,INF,APPBP2,10513,3.2280020483051999,UP
SZ_iPSC_NPC,suloctidil,202629_at,INF,APPBP2,10513,-6.5351295952472697,DOWN
SZ_iPSC_NPC,celastrol,218158_s_at,INF,APPL1,26060,-3.24089801936455,DOWN
SZ_iPSC_NPC,suloctidil,218158_s_at,INF,APPL1,26060,-6.4475374286977898,DOWN
SZ_iPSC_NPC,celastrol,218218_at,INF,APPL2,55198,-2.0222385351846102,DOWN
SZ_iPSC_NPC,suloctidil,218218_at,INF,APPL2,55198,-5.2843342018117001,DOWN
SZ_iPSC_NPC,suloctidil,203219_s_at,INF,APRT,353,2.4951838022946702,UP
SZ_iPSC_NPC,celastrol,218527_at,INF,APTX,54840,-2.24910890595724,DOWN
SZ_iPSC_NPC,emetine,218527_at,INF,APTX,54840,3.32714109217582,UP
SZ_iPSC_NPC,niclosamide,218527_at,INF,APTX,54840,-2.09383085943763,DOWN
SZ_iPSC_NPC,Vorinostat,207542_s_at,INF,AQP1,358,2.6407826386067601,UP
SZ_iPSC_NPC,repaglinide,207542_s_at,INF,AQP1,358,-2.0563712893023398,DOWN
SZ_iPSC_NPC,lycorine,206672_at,INF,AQP2,359,2.1327114674754699,UP
SZ_iPSC_NPC,suloctidil,206672_at,INF,AQP2,359,3.81730499317585,UP
SZ_iPSC_NPC,emetine,210066_s_at,INF,AQP4,361,2.3817654927472902,UP
