hub_id,alignment_id,alignment_label,alignment_status,hub_kind,source_coverage_state,axis_coverage_state,missingness_state,conflict_state,uncertainty_max_level,axis_ids_json,supported_axis_ids_json,partial_axis_ids_json,unobserved_axis_ids_json,conflicted_axis_ids_json,observed_source_names_json,missing_source_names_json,observed_feature_groups_json,observed_axis_count,partial_axis_count,unobserved_axis_count,observed_source_count,missing_source_count,observed_slice_count,missingness_slice_count,conflict_slice_count,uncertainty_slice_count,observed_slice_ids_json,missingness_slice_ids_json,conflict_slice_ids_json,uncertainty_slice_ids_json,resolved_provenance_bundle_ids_json
hub:gria1,alignment:gria1,GRIA1,id_consistent,gene_alignment,single_source,multi_axis,source_absent,none,high,"[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]","[""mechanistic_axis:clinical-translation""]","[""mechanistic_axis:disease-association""]","[""mechanistic_axis:variant-to-gene""]",[],"[""opentargets""]","[""pgc""]","[""association_score"", ""datatype_score""]",1,1,1,1,1,3,8,0,11,"[""alignment:gria1|opentargets|opentargets.datatype.clinical|observed|2"", ""alignment:gria1|opentargets|opentargets.datatype.genetic-association|observed|2"", ""alignment:gria1|opentargets|opentargets.generic_platform_baseline|observed|2""]","[""alignment:gria1|pgc|pgc.common_variant_support|missingness|absent"", ""alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|missingness|absent"", ""alignment:gria1|pgc|pgc.criterion.sig-adultfusion|missingness|absent"", ""alignment:gria1|pgc|pgc.criterion.smr-priority-gene|missingness|absent"", ""alignment:gria1|pgc|pgc.criterion.smrpsych|missingness|absent"", ""alignment:gria1|pgc|pgc.prioritised|missingness|absent"", ""alignment:gria1|pgc|pgc.priority_index_snp_count|missingness|absent"", ""alignment:gria1|pgc|pgc.priority_index_snps|missingness|absent""]",[],"[""alignment:gria1|opentargets|opentargets.datatype.clinical|uncertainty|2"", ""alignment:gria1|opentargets|opentargets.datatype.genetic-association|uncertainty|2"", ""alignment:gria1|opentargets|opentargets.generic_platform_baseline|uncertainty|2"", ""alignment:gria1|pgc|pgc.common_variant_support|uncertainty|absent"", ""alignment:gria1|pgc|pgc.criterion.finemap-priority-gene|uncertainty|absent"", ""alignment:gria1|pgc|pgc.criterion.sig-adultfusion|uncertainty|absent"", ""alignment:gria1|pgc|pgc.criterion.smr-priority-gene|uncertainty|absent"", ""alignment:gria1|pgc|pgc.criterion.smrpsych|uncertainty|absent"", ""alignment:gria1|pgc|pgc.prioritised|uncertainty|absent"", ""alignment:gria1|pgc|pgc.priority_index_snp_count|uncertainty|absent"", ""alignment:gria1|pgc|pgc.priority_index_snps|uncertainty|absent""]","[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]"
hub:grin2a,alignment:grin2a,GRIN2A,id_consistent,gene_alignment,cross_source,multi_axis,none,none,low,"[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]","[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]",[],[],[],"[""opentargets"", ""pgc""]",[],"[""association_score"", ""datatype_score"", ""index_snp_summary"", ""prioritization_criterion"", ""prioritization_summary""]",3,0,0,2,0,11,0,0,11,"[""alignment:grin2a|opentargets|opentargets.datatype.clinical|observed|1"", ""alignment:grin2a|opentargets|opentargets.datatype.genetic-association|observed|1"", ""alignment:grin2a|opentargets|opentargets.generic_platform_baseline|observed|1"", ""alignment:grin2a|pgc|pgc.common_variant_support|observed|1"", ""alignment:grin2a|pgc|pgc.criterion.finemap-priority-gene|observed|1"", ""alignment:grin2a|pgc|pgc.criterion.sig-adultfusion|observed|1"", ""alignment:grin2a|pgc|pgc.criterion.smr-priority-gene|observed|1"", ""alignment:grin2a|pgc|pgc.criterion.smrpsych|observed|1"", ""alignment:grin2a|pgc|pgc.prioritised|observed|1"", ""alignment:grin2a|pgc|pgc.priority_index_snp_count|observed|1"", ""alignment:grin2a|pgc|pgc.priority_index_snps|observed|1""]",[],[],"[""alignment:grin2a|opentargets|opentargets.datatype.clinical|uncertainty|1"", ""alignment:grin2a|opentargets|opentargets.datatype.genetic-association|uncertainty|1"", ""alignment:grin2a|opentargets|opentargets.generic_platform_baseline|uncertainty|1"", ""alignment:grin2a|pgc|pgc.common_variant_support|uncertainty|1"", ""alignment:grin2a|pgc|pgc.criterion.finemap-priority-gene|uncertainty|1"", ""alignment:grin2a|pgc|pgc.criterion.sig-adultfusion|uncertainty|1"", ""alignment:grin2a|pgc|pgc.criterion.smr-priority-gene|uncertainty|1"", ""alignment:grin2a|pgc|pgc.criterion.smrpsych|uncertainty|1"", ""alignment:grin2a|pgc|pgc.prioritised|uncertainty|1"", ""alignment:grin2a|pgc|pgc.priority_index_snp_count|uncertainty|1"", ""alignment:grin2a|pgc|pgc.priority_index_snps|uncertainty|1""]","[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]"
hub:grm3,alignment:grm3,GRM3,id_consistent,gene_alignment,cross_source,multi_axis,none,none,low,"[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]","[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]",[],[],[],"[""opentargets"", ""pgc""]",[],"[""association_score"", ""datatype_score"", ""index_snp_summary"", ""prioritization_criterion"", ""prioritization_summary""]",3,0,0,2,0,11,0,0,11,"[""alignment:grm3|opentargets|opentargets.datatype.clinical|observed|3"", ""alignment:grm3|opentargets|opentargets.datatype.genetic-association|observed|3"", ""alignment:grm3|opentargets|opentargets.generic_platform_baseline|observed|3"", ""alignment:grm3|pgc|pgc.common_variant_support|observed|2"", ""alignment:grm3|pgc|pgc.criterion.finemap-priority-gene|observed|2"", ""alignment:grm3|pgc|pgc.criterion.sig-adultfusion|observed|2"", ""alignment:grm3|pgc|pgc.criterion.smr-priority-gene|observed|2"", ""alignment:grm3|pgc|pgc.criterion.smrpsych|observed|2"", ""alignment:grm3|pgc|pgc.prioritised|observed|2"", ""alignment:grm3|pgc|pgc.priority_index_snp_count|observed|2"", ""alignment:grm3|pgc|pgc.priority_index_snps|observed|2""]",[],[],"[""alignment:grm3|opentargets|opentargets.datatype.clinical|uncertainty|3"", ""alignment:grm3|opentargets|opentargets.datatype.genetic-association|uncertainty|3"", ""alignment:grm3|opentargets|opentargets.generic_platform_baseline|uncertainty|3"", ""alignment:grm3|pgc|pgc.common_variant_support|uncertainty|2"", ""alignment:grm3|pgc|pgc.criterion.finemap-priority-gene|uncertainty|2"", ""alignment:grm3|pgc|pgc.criterion.sig-adultfusion|uncertainty|2"", ""alignment:grm3|pgc|pgc.criterion.smr-priority-gene|uncertainty|2"", ""alignment:grm3|pgc|pgc.criterion.smrpsych|uncertainty|2"", ""alignment:grm3|pgc|pgc.prioritised|uncertainty|2"", ""alignment:grm3|pgc|pgc.priority_index_snp_count|uncertainty|2"", ""alignment:grm3|pgc|pgc.priority_index_snps|uncertainty|2""]","[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]"
hub:grm5,alignment:grm5,GRM5,id_consistent,gene_alignment,single_source,multi_axis,mixed,none,high,"[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]","[""mechanistic_axis:clinical-translation""]","[""mechanistic_axis:disease-association""]","[""mechanistic_axis:variant-to-gene""]",[],"[""opentargets""]","[""pgc""]","[""association_score"", ""datatype_score""]",1,1,1,1,1,2,9,0,11,"[""alignment:grm5|opentargets|opentargets.datatype.clinical|observed|4"", ""alignment:grm5|opentargets|opentargets.generic_platform_baseline|observed|4""]","[""alignment:grm5|opentargets|opentargets.datatype.genetic-association|missingness|4"", ""alignment:grm5|pgc|pgc.common_variant_support|missingness|absent"", ""alignment:grm5|pgc|pgc.criterion.finemap-priority-gene|missingness|absent"", ""alignment:grm5|pgc|pgc.criterion.sig-adultfusion|missingness|absent"", ""alignment:grm5|pgc|pgc.criterion.smr-priority-gene|missingness|absent"", ""alignment:grm5|pgc|pgc.criterion.smrpsych|missingness|absent"", ""alignment:grm5|pgc|pgc.prioritised|missingness|absent"", ""alignment:grm5|pgc|pgc.priority_index_snp_count|missingness|absent"", ""alignment:grm5|pgc|pgc.priority_index_snps|missingness|absent""]",[],"[""alignment:grm5|opentargets|opentargets.datatype.clinical|uncertainty|4"", ""alignment:grm5|opentargets|opentargets.datatype.genetic-association|uncertainty|blank-4"", ""alignment:grm5|opentargets|opentargets.generic_platform_baseline|uncertainty|4"", ""alignment:grm5|pgc|pgc.common_variant_support|uncertainty|absent"", ""alignment:grm5|pgc|pgc.criterion.finemap-priority-gene|uncertainty|absent"", ""alignment:grm5|pgc|pgc.criterion.sig-adultfusion|uncertainty|absent"", ""alignment:grm5|pgc|pgc.criterion.smr-priority-gene|uncertainty|absent"", ""alignment:grm5|pgc|pgc.criterion.smrpsych|uncertainty|absent"", ""alignment:grm5|pgc|pgc.prioritised|uncertainty|absent"", ""alignment:grm5|pgc|pgc.priority_index_snp_count|uncertainty|absent"", ""alignment:grm5|pgc|pgc.priority_index_snps|uncertainty|absent""]","[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]"
