gene_id,gene_symbol,npc_log_fc,npc_average_expression,npc_t_statistic,npc_p_value,npc_adj_p_value,npc_q_value,disease_direction,signature_weight,sz_npc_drug_perturbation_count,sz_npc_drug_up_count,sz_npc_drug_down_count,ambiguous_drug_count,reversal_drug_count,same_direction_drug_count,reversal_fraction,max_abs_reversal_rzs,best_reversal_compound,split_name
ENSG00000009335,UBE3C,0.0204110897766,6.42059259713,0.351121085687,0.726512273055,0.999530115672,0.999530115672,UP,0.00283218249687,2,1,1,0,1,1,0.5,2.08281864674,suloctidil,train
ENSG00000009413,REV3L,-0.0339640296623,7.83388533832,-0.279954167922,0.78030710099,0.999530115672,0.999530115672,DOWN,0.00365909574562,5,3,2,0,3,2,0.6,4.35070702786,emetine,test
ENSG00000009694,TENM1,0.653552277015,5.42585478306,0.983379376043,0.328679775196,0.999530115672,0.999530115672,UP,0.315814118411,2,1,1,0,1,1,0.5,3.25350047255,BMS-250904,train
ENSG00000009709,PAX7,-1.78843527191,-0.197602075555,-1.36831166539,0.175425461584,0.999530115672,0.999530115672,DOWN,1.35189140651,2,1,1,0,1,1,0.5,3.05044033183,suloctidil,validation
ENSG00000009724,MASP2,-0.0755499415586,3.93916258074,-0.988496140335,0.326185894079,0.999530115672,0.999530115672,DOWN,0.0367576775172,2,1,1,0,1,1,0.5,2.49931353148,celastrol,validation
ENSG00000009780,FAM76A,0.143647944758,4.04440594534,1.2973999745,0.198592521925,0.999530115672,0.999530115672,UP,0.100846187859,1,1,0,0,0,1,0,0,,train
ENSG00000009790,TRAF3IP3,0.173334788764,1.48051318989,1.37274972784,0.174046972684,0.999530115672,0.999530115672,UP,0.131618916381,0,0,0,0,0,0,0,0,,train
ENSG00000009830,POMT2,0.0860958202027,5.55368798925,0.724940364738,0.47081381168,0.999530115672,0.999530115672,UP,0.0281663169109,4,3,1,0,1,3,0.25,2.06588961193,Nimodipine,train
ENSG00000009844,VTA1,-0.0167859339468,6.5367701756,-0.224281899346,0.823166629568,0.999530115672,0.999530115672,DOWN,0.00141861694204,0,0,0,0,0,0,0,0,,train
ENSG00000009954,BAZ1B,0.092269860907,7.84779658274,1.64731076741,0.103806992917,0.999530115672,0.999530115672,UP,0.0907726338062,4,2,2,0,2,2,0.5,5.58236937853,suloctidil,train
ENSG00000010017,RANBP9,-0.0608050211793,6.56114990549,-0.897525187263,0.372399289774,0.999530115672,0.999530115672,DOWN,0.0260848163239,4,3,1,0,3,1,0.75,3.85877141019,emetine,test
ENSG00000010072,SPRTN,0.0604277439363,4.91069958667,0.911640642606,0.36496875436,0.999530115672,0.999530115672,UP,0.0264519013579,0,0,0,0,0,0,0,0,,train
ENSG00000010165,METTL13,0.141159138539,4.45286279482,1.76249315229,0.0821859652352,0.999530115672,0.999530115672,UP,0.15318622744,5,0,5,0,5,0,1,4.76327402886,celastrol,test
ENSG00000010219,DYRK4,-0.0525992449152,4.1841123939,-0.680491536769,0.498353208896,0.999530115672,0.999530115672,DOWN,0.0159093117901,4,3,1,0,3,1,0.75,5.71783966337,suloctidil,train
ENSG00000010244,ZNF207,0.0282111701463,7.92056319393,0.65319088907,0.515692193763,0.999530115672,0.999530115672,UP,0.00811379892174,3,2,1,0,1,2,0.333333333333,4.6119655464,suloctidil,train
ENSG00000010256,UQCRC1,0.0222604248463,6.15051414769,0.267501004902,0.789840319063,0.999530115672,0.999530115672,UP,0.00228081872444,4,0,4,0,4,0,1,3.50789712126,suloctidil,train
ENSG00000010270,STARD3NL,-0.0917959903934,6.36370920541,-1.05195273876,0.296302699965,0.999530115672,0.999530115672,DOWN,0.0484925529734,0,0,0,0,0,0,0,0,,validation
ENSG00000010278,CD9,0.318748190414,3.2609641338,0.681431395979,0.49776197757,0.999530115672,0.999530115672,UP,0.0965737787441,3,2,1,0,1,2,0.333333333333,2.64374447096,lycorine,train
ENSG00000010292,NCAPD2,0.0765844708559,6.84731103692,0.548710406719,0.584884225985,0.999530115672,0.999530115672,UP,0.0178388277786,6,0,6,0,6,0,1,5.90452395137,suloctidil,test
ENSG00000010295,IFFO1,-0.0244145523376,4.49186799158,-0.328922627003,0.743159132975,0.999530115672,0.999530115672,DOWN,0.00314747966809,2,1,1,0,1,1,0.5,2.24251101149,Nimodipine,test
ENSG00000010310,GIPR,-0.374382254831,0.971637468514,-1.02485652999,0.308826459935,0.999530115672,0.999530115672,DOWN,0.191041834913,1,1,0,0,1,0,1,3.2066042261,suloctidil,train
ENSG00000010318,PHF7,0.0251016107089,3.21246756429,0.183025225382,0.855287314711,0.999530115672,0.999530115672,UP,0.00170409737492,3,3,0,0,0,3,0,0,,train
ENSG00000010322,NISCH,-0.0469217111801,7.35276592417,-0.879712955178,0.381911375722,0.999530115672,0.999530115672,DOWN,0.0196150303993,2,0,2,0,0,2,0,0,,train
ENSG00000010361,FUZ,0.0780412884281,3.84155715359,0.709151614739,0.480496802606,0.999530115672,0.999530115672,UP,0.0248412833377,1,0,1,0,1,0,1,4.51047410433,celastrol,validation
ENSG00000010404,IDS,-0.298715082347,8.0896279659,-1.95467123969,0.054464662307,0.999530115672,0.999530115672,DOWN,0.377541567038,6,5,1,0,5,1,0.833333333333,4.23557206512,celastrol,train
ENSG00000010539,ZNF200,-0.0892467608073,4.32165723679,-0.947748799747,0.346394786755,0.999530115672,0.999530115672,DOWN,0.0410917658401,6,5,1,0,5,1,0.833333333333,4.89633774776,emetine,train
ENSG00000010610,CD4,-0.0693302933385,1.93047016938,-0.28544465425,0.776114582218,0.999530115672,0.999530115672,DOWN,0.0076314735688,2,2,0,0,2,0,1,2.93523789508,suloctidil,train
ENSG00000010626,LRRC23,0.0407371279946,4.24633607227,0.194028123301,0.846694595381,0.999530115672,0.999530115672,UP,0.00294420310442,0,0,0,0,0,0,0,0,,train
ENSG00000010704,HFE,-0.730849133186,-0.669278774644,-2.32706147391,0.0227486293038,0.999530115672,0.999530115672,DOWN,1.20081784317,3,3,0,0,3,0,1,6.19089004738,suloctidil,validation
ENSG00000010803,SCMH1,-0.00899239655995,5.53851061354,-0.106898716853,0.915163559564,0.999530115672,0.999530115672,DOWN,0.000346218788251,2,0,2,0,0,2,0,0,,train
ENSG00000010810,FYN,0.0183610957801,7.99151167299,0.168003239728,0.867046881449,0.999530115672,0.999530115672,UP,0.00113760611325,2,0,2,0,2,0,1,15.084219994,suloctidil,train
ENSG00000010818,HIVEP2,-0.156459714458,5.72534091279,-1.13569045624,0.259813555441,0.999530115672,0.999530115672,DOWN,0.0915818466804,9,8,1,0,8,1,0.888888888889,5.7433766289,emetine,test
ENSG00000011007,TCEB3,-0.0383307140558,6.07687348934,-0.437621582732,0.662957049848,0.999530115672,0.999530115672,DOWN,0.00684259234675,4,4,0,0,4,0,1,6.57781153007,emetine,train
ENSG00000011009,LYPLA2,-0.0133420781798,4.50585937784,-0.106012913055,0.915863870269,0.999530115672,0.999530115672,DOWN,0.000509254756552,5,2,3,0,2,3,0.4,4.34138169954,suloctidil,test
ENSG00000011021,CLCN6,-0.0928720142455,6.23988713118,-0.758166051343,0.45080057028,0.999530115672,0.999530115672,DOWN,0.0321351604597,7,6,1,0,6,1,0.857142857143,4.75784687019,suloctidil,train
ENSG00000011028,MRC2,0.0243999894735,8.72174114723,0.137616847206,0.890923396205,0.999530115672,0.999530115672,UP,0.00122389459212,0,0,0,0,0,0,0,0,,validation
ENSG00000011052,NME2,-0.198131795505,0.651314265429,-0.949676278827,0.345420869553,0.999530115672,0.999530115672,DOWN,0.0914678261051,0,0,0,0,0,0,0,0,,train
ENSG00000011105,TSPAN9,0.11610310197,4.98282155112,0.658434024377,0.512337593595,0.999530115672,0.999530115672,UP,0.0337214233295,3,1,2,0,2,1,0.666666666667,2.70230440617,emetine,train
ENSG00000011114,BTBD7,0.0410138973456,6.27883179012,0.783677311665,0.435773382216,0.999530115672,0.999530115672,UP,0.0147953246487,4,3,1,0,1,3,0.25,5.52165451558,suloctidil,train
ENSG00000011132,APBA3,0.0915506155398,3.36557031982,0.961093498726,0.339688551608,0.999530115672,0.999530115672,UP,0.0429298313043,3,3,0,0,0,3,0,0,,train
ENSG00000011143,MKS1,-0.0225169624125,4.35485191574,-0.305809711957,0.760622866301,0.999530115672,0.999530115672,DOWN,0.00267570466495,7,1,6,0,1,6,0.142857142857,4.68283494155,emetine,train
ENSG00000011198,ABHD5,0.0096663254038,3.70548950791,0.0770249237025,0.938815151015,0.999530115672,0.999530115672,UP,0.000265049774345,1,1,0,0,0,1,0,0,,train
ENSG00000011201,KAL1,0.429602946105,5.86937402036,0.647467260415,0.519367457442,0.999530115672,0.999530115672,UP,0.122232892474,5,3,2,0,2,3,0.4,4.01828229481,celastrol,train
ENSG00000011243,AKAP8L,-0.035895403694,6.33196029887,-0.379283843077,0.705581865319,0.999530115672,0.999530115672,DOWN,0.00543645185339,4,4,0,0,4,0,1,5.64755997491,BMS-250904,train
ENSG00000011258,MBTD1,0.064432416547,6.3057772607,0.887815425601,0.377565776608,0.999530115672,0.999530115672,UP,0.0272553875815,3,3,0,0,0,3,0,0,,validation
ENSG00000011260,UTP18,0.0373394869194,5.29316456935,0.433887306688,0.665654226274,0.999530115672,0.999530115672,UP,0.00659980308919,8,6,2,0,2,6,0.25,4.15358961583,suloctidil,validation
ENSG00000011275,RNF216,0.00609037442596,6.5411913531,0.0984497018771,0.921845953743,0.999530115672,0.999530115672,UP,0.000215243858327,3,3,0,0,0,3,0,0,,test
ENSG00000011295,TTC19,0.0475154946354,6.31947479405,0.795337270271,0.429004525404,0.999530115672,0.999530115672,UP,0.0174637558821,6,3,3,0,3,3,0.5,2.78011191833,Vorinostat,test
ENSG00000011304,PTBP1,0.0475305399371,7.50613256435,0.484495287647,0.629489844949,0.999530115672,0.999530115672,UP,0.00955417427363,3,1,2,0,2,1,0.666666666667,3.16044426659,Vorinostat,test
ENSG00000011332,DPF1,-0.116661756083,4.52649106373,-0.899452179526,0.3713792951,0.999530115672,0.999530115672,DOWN,0.0501858240036,1,1,0,0,1,0,1,4.52856635472,suloctidil,train
ENSG00000011347,SYT7,-0.160152588659,4.15370091747,-0.518519844639,0.605669132899,0.999530115672,0.999530115672,DOWN,0.0348755578419,0,0,0,0,0,0,0,0,,test
