gene_id,gene_symbol,approved_name,hub_id,alignment_id,convergence_contract_version,source_coverage_state,axis_coverage_state,missingness_state,conflict_state,uncertainty_max_level,observed_axis_count,partial_axis_count,unobserved_axis_count,observed_source_count,missing_source_count,clinical_translation_state,clinical_translation_uncertainty_max_level,disease_association_state,disease_association_missingness_state,disease_association_uncertainty_max_level,variant_to_gene_state,variant_to_gene_missingness_state,variant_to_gene_uncertainty_max_level,supported_axis_ids_json,partial_axis_ids_json,unobserved_axis_ids_json,missing_source_names_json,resolved_provenance_bundle_ids_json,split_name
ENSG00000155511,GRIA1,glutamate ionotropic receptor AMPA type subunit 1,hub:gria1,alignment:gria1,atlas-convergence-hubs/v1,single_source,multi_axis,source_absent,none,high,1,1,1,1,1,observed,medium,partial_observed,source_absent,high,unobserved,source_absent,high,"[""mechanistic_axis:clinical-translation""]","[""mechanistic_axis:disease-association""]","[""mechanistic_axis:variant-to-gene""]","[""pgc""]","[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]",validation
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,hub:grin2a,alignment:grin2a,atlas-convergence-hubs/v1,cross_source,multi_axis,none,none,low,3,0,0,2,0,observed,low,observed,none,low,observed,none,low,"[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]",[],[],[],"[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]",train
ENSG00000198822,GRM3,glutamate metabotropic receptor 3,hub:grm3,alignment:grm3,atlas-convergence-hubs/v1,cross_source,multi_axis,none,none,low,3,0,0,2,0,observed,low,observed,none,low,observed,none,low,"[""mechanistic_axis:clinical-translation"", ""mechanistic_axis:disease-association"", ""mechanistic_axis:variant-to-gene""]",[],[],[],"[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]",test
ENSG00000168959,GRM5,glutamate metabotropic receptor 5,hub:grm5,alignment:grm5,atlas-convergence-hubs/v1,single_source,multi_axis,mixed,none,high,1,1,1,1,1,observed,medium,partial_observed,mixed,high,unobserved,source_absent,high,"[""mechanistic_axis:clinical-translation""]","[""mechanistic_axis:disease-association""]","[""mechanistic_axis:variant-to-gene""]","[""pgc""]","[""opentargets:glutamatergic-baseline"", ""pgc:glutamatergic-prioritized-genes""]",train
